Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,,,,,,,2500,2250,2500,2250,2400,2285.7,2300,2000,2055.6,1875,1821.4,1666.7,1750,1920,1705.9,1800,1787.9,1789.5,1705.9,1900,1904.8,1920,2035.7,2142.9,2381,1833.3,1713.6,1690.1,1668.4,1607.1,1639,1634.2,1631.8,1631.7,1600,1614.9,1562.5,1571.4,1578.9,1597.4,1625,1601.4,1619,1590.2,1585.9,1597.4,1595.3,1593.1,1583,1579.6,1843.2,2030.7,2233.9,1988.8,2064.5,2077.8,2040.8,2060.6,
Australia,,1083.9,1217.3,1285.2,1323.7,983.5,1441.6,830.8,1338.7,1114.9,1217.6,1269.6,933.1,1318.5,1393.6,1414,1345.5,987.5,1680.2,1510.2,1052.3,1401.5,875.6,1646.2,1609.3,1453.1,1521.9,1436,1629.4,1676.4,1716.1,1691,1666.2,1833.1,2015.1,1270,1873.5,2175.2,1928.7,1992.3,2107.3,1959.6,2197.5,1020.7,2116.4,1694.6,2111.7,981.3,1332.7,1651.4,1661.5,2097.5,2231.6,1936.1,2137.9,2027.3,2075.2,2674.2,2035.6,1769,1650.5,2547.9,2880.6,3230.7,
Austria,,2520.8,2568.4,2509.9,2621.7,2330.1,2940.6,3251,3343.1,3555.7,3192.3,3656.4,3402.6,3855.5,4070.9,3752.7,4173.9,4096.2,4394.2,3729.2,4515.6,4147.1,4778.8,4755.5,5091.4,5269.4,4824.9,4962.9,5546,5289.7,5577.3,5456.5,5152.7,5088.8,5391.7,5502,5391,5900.9,5675.3,5926.9,5403.9,5856.2,5831,5255.4,6495.5,6133.1,5721.8,5844.1,6807.3,6149.5,5903.1,7056.7,6002.9,5846.8,7046.7,6198.1,7246.4,6260.6,6145.8,6954.3,7386.4,7112.4,6895.5,7051,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113.9,1617.9,1622.7,1507,1608.4,1669.4,1581.1,2080,2335.2,2600.7,2623.2,2604.1,2588.8,2593.1,2599.3,2667.4,2741.5,2606.7,2020.6,2484.4,2659.7,2692.3,2343.6,3083.6,3005.1,2942.2,3013.7,3239,3227.3,3297.4,3162.9,3368.2,
Burundi,,946.2,1010.6,919.6,991.9,983.6,975.8,997.3,1045.7,1066.6,1092.3,1110.7,1024.8,1110,973.3,1104.7,1104.8,1110.1,1234.2,1100,1063.5,1080.4,1075.4,1094,1108.9,1152.5,1213.5,1228.2,1194.3,1369,1348.5,1368.9,1391.4,1394.1,1274.8,1331.9,1386.3,1434,1275.9,1309.5,1228.2,1283.5,1308.8,1284.1,1328.1,1344.3,1277,1303.1,1281.8,1296.9,1231.7,1153.8,1107.5,1178.4,1332.4,1203.9,1482.5,1125.4,1322.8,1187.9,1296.6,1382.8,1359.9,1377.6,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8021.4,8218.1,8500.9,8530.7,9184.9,8649.5,8373.3,8637.7,8885.8,9710,9348.1,9009,8666.3,9212.5,9435.4,9842.2,6984.8,9050.7,7983.1,8988.5,8430.6,7906.2,8603.5,8485.7,
Benin,,546.1,489.9,503.5,529.3,551.5,531.8,577.5,573.8,556.8,577.1,532.7,555.8,687.7,707.9,739.3,724.6,754,741.1,720.9,718.3,653.8,649.5,599.9,799.1,855.8,836.2,725.1,834.7,853.7,847.9,878.6,913.4,919.2,956.9,1086.5,1009.6,1117,1055.9,1162.6,1102.1,1069.3,1131.1,1148.7,1146,1136.4,1190.5,1286,1158.7,1423.5,1200.6,1517.8,1373.2,1479.6,1460.3,1336.7,1455.9,1405.4,1428.5,1238.3,1432.8,1408.6,1361.5,1126.7,
Burkina Faso,,408.5,477.9,473.1,522.5,485.7,495.4,452.3,625.8,484.5,516.6,444.5,461.2,436.6,488.2,558.1,499.4,528.8,576.4,580.1,569.8,576.6,568.3,514.9,589.9,708.8,699.5,641.7,726.9,672.9,600.2,876.6,871.5,936.2,787.9,851.1,916.5,704.5,889,912.9,856.4,967.8,942.7,996.3,940.7,1127.2,1203.9,936.1,1039.9,1002,1062.7,995.1,1203,1156.5,1225.8,1168.9,1136.8,1009,1152.3,1156.1,1261.7,1095.7,1204.1,1221.1,
Bangladesh,,1681.1,1514,1749.4,1691.8,1670,1570.8,1681.5,1727.9,1724.7,1666.2,1583.1,1554.5,1785.2,1708.4,1831.6,1769,1923.7,1926.9,1870.9,2005.8,1937.5,1997.9,2205.6,2134.6,2148.5,2146.6,2202.1,2235.8,2500.3,2490.6,2585.8,2625.7,2647.7,2475.9,2593.2,2694.2,2682.4,2865.3,3116.4,3384.4,3311,3395,3479.3,3439.4,3681.6,3761.4,4020.9,4102.5,4176,4288.3,4352.8,4395.8,4508.6,4540.9,4560.4,4601,4706,4790.2,4810.9,4901.8,4919.6,5005.3,5159.9,
Bulgaria,,1746.6,1822,1858.6,2137,2297.1,2930.6,2951.4,2439.4,2822.4,3124.1,3184.4,3702.2,3492.9,3184.2,3430.5,3741.8,3381.4,3498,3791.6,3705,4062.1,4669.5,3717.2,4497.9,2915,4047,3694.7,3705.5,4402.1,3953.7,3990.8,2953.6,2512.7,2798.9,3069.5,1908.6,3011.5,2684.7,2946.8,2459.9,2898.5,3156.3,2371.3,4077.8,3387,3572.5,2523.7,4094.3,3413,4031,4251.2,3671.8,4561,4860.7,4669.6,4817.8,5479.7,5561.7,5774.7,4373.4,5949.6,5151.2,5223.8,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,666.7,833.3,833.3,892.9,909.1,914.9,937.5,940,980,980.8,990.7,991,1000,1000,1009.9,1021.2,1030.6,1158.7,1142.9,1141.3,1142.9,1165.4,1250,1333.3,1344.3,1344.3,1363.6,1400,1400,1500,1666.7,1666.7,1600,1793.1,1793.1,1793.1,1740,1984.2,2165.7,2476.2,3000,3050,3400,3550,3600,3800,4000,4761.9,6000,7533.3,7308.5,7340.4,7413.2,7516.2,8342.3,7709.5,7820.7,7862.8,7415.8,7607.9,7525.2,7515.9,7549.7,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552.8,3504,3606,3586.3,3536.8,3523.7,3481.2,3756.4,2550.2,3201.7,3828.2,2521.6,4433.5,4253.3,4290.8,3223.2,4427.1,4503.1,3853,3724.9,3000.6,4026.9,3977.4,3812.1,5191.7,3732.1,5487.9,5354.7,6050.7,4422.1,6912.7,5529.7,
